image_id,label,original_class,split,organized_image_file_path,original_image_file_path,organized_mask_file_path,original_mask_file_path
malignant (192).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (192).png,./data/ultrasound/images/malignant/malignant (192).png,./mmibc/busi/masks/train/malignant/malignant (192)_mask.png,./data/ultrasound/masks/malignant/malignant (192)_mask.png
malignant (113).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (113).png,./data/ultrasound/images/malignant/malignant (113).png,./mmibc/busi/masks/train/malignant/malignant (113)_mask.png,./data/ultrasound/masks/malignant/malignant (113)_mask.png
benign (351).png,0,benign,train,./mmibc/busi/images/train/benign/benign (351).png,./data/ultrasound/images/benign/benign (351).png,./mmibc/busi/masks/train/benign/benign (351)_mask.png,./data/ultrasound/masks/benign/benign (351)_mask.png
benign (194).png,0,benign,train,./mmibc/busi/images/train/benign/benign (194).png,./data/ultrasound/images/benign/benign (194).png,./mmibc/busi/masks/train/benign/benign (194)_mask.png,./data/ultrasound/masks/benign/benign (194)_mask.png
malignant (98).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (98).png,./data/ultrasound/images/malignant/malignant (98).png,./mmibc/busi/masks/train/malignant/malignant (98)_mask.png,./data/ultrasound/masks/malignant/malignant (98)_mask.png
benign (90).png,0,benign,train,./mmibc/busi/images/train/benign/benign (90).png,./data/ultrasound/images/benign/benign (90).png,./mmibc/busi/masks/train/benign/benign (90)_mask.png,./data/ultrasound/masks/benign/benign (90)_mask.png
malignant (70).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (70).png,./data/ultrasound/images/malignant/malignant (70).png,./mmibc/busi/masks/train/malignant/malignant (70)_mask.png,./data/ultrasound/masks/malignant/malignant (70)_mask.png
normal (12).png,0,normal,train,./mmibc/busi/images/train/benign/normal (12).png,./data/ultrasound/images/normal/normal (12).png,./mmibc/busi/masks/train/benign/normal (12)_mask.png,./data/ultrasound/masks/normal/normal (12)_mask.png
benign (407).png,0,benign,train,./mmibc/busi/images/train/benign/benign (407).png,./data/ultrasound/images/benign/benign (407).png,./mmibc/busi/masks/train/benign/benign (407)_mask.png,./data/ultrasound/masks/benign/benign (407)_mask.png
malignant (82).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (82).png,./data/ultrasound/images/malignant/malignant (82).png,./mmibc/busi/masks/train/malignant/malignant (82)_mask.png,./data/ultrasound/masks/malignant/malignant (82)_mask.png
malignant (175).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (175).png,./data/ultrasound/images/malignant/malignant (175).png,./mmibc/busi/masks/train/malignant/malignant (175)_mask.png,./data/ultrasound/masks/malignant/malignant (175)_mask.png
benign (61).png,0,benign,train,./mmibc/busi/images/train/benign/benign (61).png,./data/ultrasound/images/benign/benign (61).png,./mmibc/busi/masks/train/benign/benign (61)_mask.png,./data/ultrasound/masks/benign/benign (61)_mask.png
benign (333).png,0,benign,train,./mmibc/busi/images/train/benign/benign (333).png,./data/ultrasound/images/benign/benign (333).png,./mmibc/busi/masks/train/benign/benign (333)_mask.png,./data/ultrasound/masks/benign/benign (333)_mask.png
benign (207).png,0,benign,train,./mmibc/busi/images/train/benign/benign (207).png,./data/ultrasound/images/benign/benign (207).png,./mmibc/busi/masks/train/benign/benign (207)_mask.png,./data/ultrasound/masks/benign/benign (207)_mask.png
benign (292).png,0,benign,train,./mmibc/busi/images/train/benign/benign (292).png,./data/ultrasound/images/benign/benign (292).png,./mmibc/busi/masks/train/benign/benign (292)_mask.png,./data/ultrasound/masks/benign/benign (292)_mask.png
benign (313).png,0,benign,train,./mmibc/busi/images/train/benign/benign (313).png,./data/ultrasound/images/benign/benign (313).png,./mmibc/busi/masks/train/benign/benign (313)_mask.png,./data/ultrasound/masks/benign/benign (313)_mask.png
benign (45).png,0,benign,train,./mmibc/busi/images/train/benign/benign (45).png,./data/ultrasound/images/benign/benign (45).png,./mmibc/busi/masks/train/benign/benign (45)_mask.png,./data/ultrasound/masks/benign/benign (45)_mask.png
malignant (39).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (39).png,./data/ultrasound/images/malignant/malignant (39).png,./mmibc/busi/masks/train/malignant/malignant (39)_mask.png,./data/ultrasound/masks/malignant/malignant (39)_mask.png
benign (65).png,0,benign,train,./mmibc/busi/images/train/benign/benign (65).png,./data/ultrasound/images/benign/benign (65).png,./mmibc/busi/masks/train/benign/benign (65)_mask.png,./data/ultrasound/masks/benign/benign (65)_mask.png
benign (392).png,0,benign,train,./mmibc/busi/images/train/benign/benign (392).png,./data/ultrasound/images/benign/benign (392).png,./mmibc/busi/masks/train/benign/benign (392)_mask.png,./data/ultrasound/masks/benign/benign (392)_mask.png
normal (102).png,0,normal,train,./mmibc/busi/images/train/benign/normal (102).png,./data/ultrasound/images/normal/normal (102).png,./mmibc/busi/masks/train/benign/normal (102)_mask.png,./data/ultrasound/masks/normal/normal (102)_mask.png
benign (5).png,0,benign,train,./mmibc/busi/images/train/benign/benign (5).png,./data/ultrasound/images/benign/benign (5).png,./mmibc/busi/masks/train/benign/benign (5)_mask.png,./data/ultrasound/masks/benign/benign (5)_mask.png
benign (373).png,0,benign,train,./mmibc/busi/images/train/benign/benign (373).png,./data/ultrasound/images/benign/benign (373).png,./mmibc/busi/masks/train/benign/benign (373)_mask.png,./data/ultrasound/masks/benign/benign (373)_mask.png
benign (204).png,0,benign,train,./mmibc/busi/images/train/benign/benign (204).png,./data/ultrasound/images/benign/benign (204).png,./mmibc/busi/masks/train/benign/benign (204)_mask.png,./data/ultrasound/masks/benign/benign (204)_mask.png
benign (2).png,0,benign,train,./mmibc/busi/images/train/benign/benign (2).png,./data/ultrasound/images/benign/benign (2).png,./mmibc/busi/masks/train/benign/benign (2)_mask.png,./data/ultrasound/masks/benign/benign (2)_mask.png
benign (398).png,0,benign,train,./mmibc/busi/images/train/benign/benign (398).png,./data/ultrasound/images/benign/benign (398).png,./mmibc/busi/masks/train/benign/benign (398)_mask.png,./data/ultrasound/masks/benign/benign (398)_mask.png
malignant (89).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (89).png,./data/ultrasound/images/malignant/malignant (89).png,./mmibc/busi/masks/train/malignant/malignant (89)_mask.png,./data/ultrasound/masks/malignant/malignant (89)_mask.png
malignant (143).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (143).png,./data/ultrasound/images/malignant/malignant (143).png,./mmibc/busi/masks/train/malignant/malignant (143)_mask.png,./data/ultrasound/masks/malignant/malignant (143)_mask.png
malignant (100).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (100).png,./data/ultrasound/images/malignant/malignant (100).png,./mmibc/busi/masks/train/malignant/malignant (100)_mask.png,./data/ultrasound/masks/malignant/malignant (100)_mask.png
benign (257).png,0,benign,train,./mmibc/busi/images/train/benign/benign (257).png,./data/ultrasound/images/benign/benign (257).png,./mmibc/busi/masks/train/benign/benign (257)_mask.png,./data/ultrasound/masks/benign/benign (257)_mask.png
normal (113).png,0,normal,train,./mmibc/busi/images/train/benign/normal (113).png,./data/ultrasound/images/normal/normal (113).png,./mmibc/busi/masks/train/benign/normal (113)_mask.png,./data/ultrasound/masks/normal/normal (113)_mask.png
normal (103).png,0,normal,train,./mmibc/busi/images/train/benign/normal (103).png,./data/ultrasound/images/normal/normal (103).png,./mmibc/busi/masks/train/benign/normal (103)_mask.png,./data/ultrasound/masks/normal/normal (103)_mask.png
normal (14).png,0,normal,train,./mmibc/busi/images/train/benign/normal (14).png,./data/ultrasound/images/normal/normal (14).png,./mmibc/busi/masks/train/benign/normal (14)_mask.png,./data/ultrasound/masks/normal/normal (14)_mask.png
malignant (180).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (180).png,./data/ultrasound/images/malignant/malignant (180).png,./mmibc/busi/masks/train/malignant/malignant (180)_mask.png,./data/ultrasound/masks/malignant/malignant (180)_mask.png
benign (357).png,0,benign,train,./mmibc/busi/images/train/benign/benign (357).png,./data/ultrasound/images/benign/benign (357).png,./mmibc/busi/masks/train/benign/benign (357)_mask.png,./data/ultrasound/masks/benign/benign (357)_mask.png
normal (25).png,0,normal,train,./mmibc/busi/images/train/benign/normal (25).png,./data/ultrasound/images/normal/normal (25).png,./mmibc/busi/masks/train/benign/normal (25)_mask.png,./data/ultrasound/masks/normal/normal (25)_mask.png
benign (6).png,0,benign,train,./mmibc/busi/images/train/benign/benign (6).png,./data/ultrasound/images/benign/benign (6).png,./mmibc/busi/masks/train/benign/benign (6)_mask.png,./data/ultrasound/masks/benign/benign (6)_mask.png
normal (51).png,0,normal,train,./mmibc/busi/images/train/benign/normal (51).png,./data/ultrasound/images/normal/normal (51).png,./mmibc/busi/masks/train/benign/normal (51)_mask.png,./data/ultrasound/masks/normal/normal (51)_mask.png
normal (21).png,0,normal,train,./mmibc/busi/images/train/benign/normal (21).png,./data/ultrasound/images/normal/normal (21).png,./mmibc/busi/masks/train/benign/normal (21)_mask.png,./data/ultrasound/masks/normal/normal (21)_mask.png
malignant (196).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (196).png,./data/ultrasound/images/malignant/malignant (196).png,./mmibc/busi/masks/train/malignant/malignant (196)_mask.png,./data/ultrasound/masks/malignant/malignant (196)_mask.png
benign (202).png,0,benign,train,./mmibc/busi/images/train/benign/benign (202).png,./data/ultrasound/images/benign/benign (202).png,./mmibc/busi/masks/train/benign/benign (202)_mask.png,./data/ultrasound/masks/benign/benign (202)_mask.png
benign (35).png,0,benign,train,./mmibc/busi/images/train/benign/benign (35).png,./data/ultrasound/images/benign/benign (35).png,./mmibc/busi/masks/train/benign/benign (35)_mask.png,./data/ultrasound/masks/benign/benign (35)_mask.png
benign (391).png,0,benign,train,./mmibc/busi/images/train/benign/benign (391).png,./data/ultrasound/images/benign/benign (391).png,./mmibc/busi/masks/train/benign/benign (391)_mask.png,./data/ultrasound/masks/benign/benign (391)_mask.png
benign (380).png,0,benign,train,./mmibc/busi/images/train/benign/benign (380).png,./data/ultrasound/images/benign/benign (380).png,./mmibc/busi/masks/train/benign/benign (380)_mask.png,./data/ultrasound/masks/benign/benign (380)_mask.png
benign (206).png,0,benign,train,./mmibc/busi/images/train/benign/benign (206).png,./data/ultrasound/images/benign/benign (206).png,./mmibc/busi/masks/train/benign/benign (206)_mask.png,./data/ultrasound/masks/benign/benign (206)_mask.png
malignant (14).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (14).png,./data/ultrasound/images/malignant/malignant (14).png,./mmibc/busi/masks/train/malignant/malignant (14)_mask.png,./data/ultrasound/masks/malignant/malignant (14)_mask.png
benign (97).png,0,benign,train,./mmibc/busi/images/train/benign/benign (97).png,./data/ultrasound/images/benign/benign (97).png,./mmibc/busi/masks/train/benign/benign (97)_mask.png,./data/ultrasound/masks/benign/benign (97)_mask.png
benign (196).png,0,benign,train,./mmibc/busi/images/train/benign/benign (196).png,./data/ultrasound/images/benign/benign (196).png,./mmibc/busi/masks/train/benign/benign (196)_mask.png,./data/ultrasound/masks/benign/benign (196)_mask.png
malignant (155).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (155).png,./data/ultrasound/images/malignant/malignant (155).png,./mmibc/busi/masks/train/malignant/malignant (155)_mask.png,./data/ultrasound/masks/malignant/malignant (155)_mask.png
benign (165).png,0,benign,train,./mmibc/busi/images/train/benign/benign (165).png,./data/ultrasound/images/benign/benign (165).png,./mmibc/busi/masks/train/benign/benign (165)_mask.png,./data/ultrasound/masks/benign/benign (165)_mask.png
benign (329).png,0,benign,train,./mmibc/busi/images/train/benign/benign (329).png,./data/ultrasound/images/benign/benign (329).png,./mmibc/busi/masks/train/benign/benign (329)_mask.png,./data/ultrasound/masks/benign/benign (329)_mask.png
benign (30).png,0,benign,train,./mmibc/busi/images/train/benign/benign (30).png,./data/ultrasound/images/benign/benign (30).png,./mmibc/busi/masks/train/benign/benign (30)_mask.png,./data/ultrasound/masks/benign/benign (30)_mask.png
benign (241).png,0,benign,train,./mmibc/busi/images/train/benign/benign (241).png,./data/ultrasound/images/benign/benign (241).png,./mmibc/busi/masks/train/benign/benign (241)_mask.png,./data/ultrasound/masks/benign/benign (241)_mask.png
benign (314).png,0,benign,train,./mmibc/busi/images/train/benign/benign (314).png,./data/ultrasound/images/benign/benign (314).png,./mmibc/busi/masks/train/benign/benign (314)_mask.png,./data/ultrasound/masks/benign/benign (314)_mask.png
benign (146).png,0,benign,train,./mmibc/busi/images/train/benign/benign (146).png,./data/ultrasound/images/benign/benign (146).png,./mmibc/busi/masks/train/benign/benign (146)_mask.png,./data/ultrasound/masks/benign/benign (146)_mask.png
benign (426).png,0,benign,train,./mmibc/busi/images/train/benign/benign (426).png,./data/ultrasound/images/benign/benign (426).png,./mmibc/busi/masks/train/benign/benign (426)_mask.png,./data/ultrasound/masks/benign/benign (426)_mask.png
benign (19).png,0,benign,train,./mmibc/busi/images/train/benign/benign (19).png,./data/ultrasound/images/benign/benign (19).png,./mmibc/busi/masks/train/benign/benign (19)_mask.png,./data/ultrasound/masks/benign/benign (19)_mask.png
benign (400).png,0,benign,train,./mmibc/busi/images/train/benign/benign (400).png,./data/ultrasound/images/benign/benign (400).png,./mmibc/busi/masks/train/benign/benign (400)_mask.png,./data/ultrasound/masks/benign/benign (400)_mask.png
benign (281).png,0,benign,train,./mmibc/busi/images/train/benign/benign (281).png,./data/ultrasound/images/benign/benign (281).png,./mmibc/busi/masks/train/benign/benign (281)_mask.png,./data/ultrasound/masks/benign/benign (281)_mask.png
benign (125).png,0,benign,train,./mmibc/busi/images/train/benign/benign (125).png,./data/ultrasound/images/benign/benign (125).png,./mmibc/busi/masks/train/benign/benign (125)_mask.png,./data/ultrasound/masks/benign/benign (125)_mask.png
benign (111).png,0,benign,train,./mmibc/busi/images/train/benign/benign (111).png,./data/ultrasound/images/benign/benign (111).png,./mmibc/busi/masks/train/benign/benign (111)_mask.png,./data/ultrasound/masks/benign/benign (111)_mask.png
benign (339).png,0,benign,train,./mmibc/busi/images/train/benign/benign (339).png,./data/ultrasound/images/benign/benign (339).png,./mmibc/busi/masks/train/benign/benign (339)_mask.png,./data/ultrasound/masks/benign/benign (339)_mask.png
malignant (176).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (176).png,./data/ultrasound/images/malignant/malignant (176).png,./mmibc/busi/masks/train/malignant/malignant (176)_mask.png,./data/ultrasound/masks/malignant/malignant (176)_mask.png
benign (11).png,0,benign,train,./mmibc/busi/images/train/benign/benign (11).png,./data/ultrasound/images/benign/benign (11).png,./mmibc/busi/masks/train/benign/benign (11)_mask.png,./data/ultrasound/masks/benign/benign (11)_mask.png
benign (102).png,0,benign,train,./mmibc/busi/images/train/benign/benign (102).png,./data/ultrasound/images/benign/benign (102).png,./mmibc/busi/masks/train/benign/benign (102)_mask.png,./data/ultrasound/masks/benign/benign (102)_mask.png
malignant (5).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (5).png,./data/ultrasound/images/malignant/malignant (5).png,./mmibc/busi/masks/train/malignant/malignant (5)_mask.png,./data/ultrasound/masks/malignant/malignant (5)_mask.png
malignant (63).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (63).png,./data/ultrasound/images/malignant/malignant (63).png,./mmibc/busi/masks/train/malignant/malignant (63)_mask.png,./data/ultrasound/masks/malignant/malignant (63)_mask.png
benign (366).png,0,benign,train,./mmibc/busi/images/train/benign/benign (366).png,./data/ultrasound/images/benign/benign (366).png,./mmibc/busi/masks/train/benign/benign (366)_mask.png,./data/ultrasound/masks/benign/benign (366)_mask.png
normal (61).png,0,normal,train,./mmibc/busi/images/train/benign/normal (61).png,./data/ultrasound/images/normal/normal (61).png,./mmibc/busi/masks/train/benign/normal (61)_mask.png,./data/ultrasound/masks/normal/normal (61)_mask.png
benign (377).png,0,benign,train,./mmibc/busi/images/train/benign/benign (377).png,./data/ultrasound/images/benign/benign (377).png,./mmibc/busi/masks/train/benign/benign (377)_mask.png,./data/ultrasound/masks/benign/benign (377)_mask.png
malignant (33).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (33).png,./data/ultrasound/images/malignant/malignant (33).png,./mmibc/busi/masks/train/malignant/malignant (33)_mask.png,./data/ultrasound/masks/malignant/malignant (33)_mask.png
benign (147).png,0,benign,train,./mmibc/busi/images/train/benign/benign (147).png,./data/ultrasound/images/benign/benign (147).png,./mmibc/busi/masks/train/benign/benign (147)_mask.png,./data/ultrasound/masks/benign/benign (147)_mask.png
benign (122).png,0,benign,train,./mmibc/busi/images/train/benign/benign (122).png,./data/ultrasound/images/benign/benign (122).png,./mmibc/busi/masks/train/benign/benign (122)_mask.png,./data/ultrasound/masks/benign/benign (122)_mask.png
benign (199).png,0,benign,train,./mmibc/busi/images/train/benign/benign (199).png,./data/ultrasound/images/benign/benign (199).png,./mmibc/busi/masks/train/benign/benign (199)_mask.png,./data/ultrasound/masks/benign/benign (199)_mask.png
benign (215).png,0,benign,train,./mmibc/busi/images/train/benign/benign (215).png,./data/ultrasound/images/benign/benign (215).png,./mmibc/busi/masks/train/benign/benign (215)_mask.png,./data/ultrasound/masks/benign/benign (215)_mask.png
benign (86).png,0,benign,train,./mmibc/busi/images/train/benign/benign (86).png,./data/ultrasound/images/benign/benign (86).png,./mmibc/busi/masks/train/benign/benign (86)_mask.png,./data/ultrasound/masks/benign/benign (86)_mask.png
malignant (168).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (168).png,./data/ultrasound/images/malignant/malignant (168).png,./mmibc/busi/masks/train/malignant/malignant (168)_mask.png,./data/ultrasound/masks/malignant/malignant (168)_mask.png
benign (344).png,0,benign,train,./mmibc/busi/images/train/benign/benign (344).png,./data/ultrasound/images/benign/benign (344).png,./mmibc/busi/masks/train/benign/benign (344)_mask.png,./data/ultrasound/masks/benign/benign (344)_mask.png
benign (150).png,0,benign,train,./mmibc/busi/images/train/benign/benign (150).png,./data/ultrasound/images/benign/benign (150).png,./mmibc/busi/masks/train/benign/benign (150)_mask.png,./data/ultrasound/masks/benign/benign (150)_mask.png
benign (73).png,0,benign,train,./mmibc/busi/images/train/benign/benign (73).png,./data/ultrasound/images/benign/benign (73).png,./mmibc/busi/masks/train/benign/benign (73)_mask.png,./data/ultrasound/masks/benign/benign (73)_mask.png
benign (121).png,0,benign,train,./mmibc/busi/images/train/benign/benign (121).png,./data/ultrasound/images/benign/benign (121).png,./mmibc/busi/masks/train/benign/benign (121)_mask.png,./data/ultrasound/masks/benign/benign (121)_mask.png
benign (15).png,0,benign,train,./mmibc/busi/images/train/benign/benign (15).png,./data/ultrasound/images/benign/benign (15).png,./mmibc/busi/masks/train/benign/benign (15)_mask.png,./data/ultrasound/masks/benign/benign (15)_mask.png
malignant (12).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (12).png,./data/ultrasound/images/malignant/malignant (12).png,./mmibc/busi/masks/train/malignant/malignant (12)_mask.png,./data/ultrasound/masks/malignant/malignant (12)_mask.png
benign (175).png,0,benign,train,./mmibc/busi/images/train/benign/benign (175).png,./data/ultrasound/images/benign/benign (175).png,./mmibc/busi/masks/train/benign/benign (175)_mask.png,./data/ultrasound/masks/benign/benign (175)_mask.png
benign (296).png,0,benign,train,./mmibc/busi/images/train/benign/benign (296).png,./data/ultrasound/images/benign/benign (296).png,./mmibc/busi/masks/train/benign/benign (296)_mask.png,./data/ultrasound/masks/benign/benign (296)_mask.png
benign (321).png,0,benign,train,./mmibc/busi/images/train/benign/benign (321).png,./data/ultrasound/images/benign/benign (321).png,./mmibc/busi/masks/train/benign/benign (321)_mask.png,./data/ultrasound/masks/benign/benign (321)_mask.png
malignant (110).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (110).png,./data/ultrasound/images/malignant/malignant (110).png,./mmibc/busi/masks/train/malignant/malignant (110)_mask.png,./data/ultrasound/masks/malignant/malignant (110)_mask.png
malignant (11).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (11).png,./data/ultrasound/images/malignant/malignant (11).png,./mmibc/busi/masks/train/malignant/malignant (11)_mask.png,./data/ultrasound/masks/malignant/malignant (11)_mask.png
benign (420).png,0,benign,train,./mmibc/busi/images/train/benign/benign (420).png,./data/ultrasound/images/benign/benign (420).png,./mmibc/busi/masks/train/benign/benign (420)_mask.png,./data/ultrasound/masks/benign/benign (420)_mask.png
malignant (148).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (148).png,./data/ultrasound/images/malignant/malignant (148).png,./mmibc/busi/masks/train/malignant/malignant (148)_mask.png,./data/ultrasound/masks/malignant/malignant (148)_mask.png
malignant (174).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (174).png,./data/ultrasound/images/malignant/malignant (174).png,./mmibc/busi/masks/train/malignant/malignant (174)_mask.png,./data/ultrasound/masks/malignant/malignant (174)_mask.png
malignant (117).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (117).png,./data/ultrasound/images/malignant/malignant (117).png,./mmibc/busi/masks/train/malignant/malignant (117)_mask.png,./data/ultrasound/masks/malignant/malignant (117)_mask.png
benign (179).png,0,benign,train,./mmibc/busi/images/train/benign/benign (179).png,./data/ultrasound/images/benign/benign (179).png,./mmibc/busi/masks/train/benign/benign (179)_mask.png,./data/ultrasound/masks/benign/benign (179)_mask.png
malignant (207).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (207).png,./data/ultrasound/images/malignant/malignant (207).png,./mmibc/busi/masks/train/malignant/malignant (207)_mask.png,./data/ultrasound/masks/malignant/malignant (207)_mask.png
benign (285).png,0,benign,train,./mmibc/busi/images/train/benign/benign (285).png,./data/ultrasound/images/benign/benign (285).png,./mmibc/busi/masks/train/benign/benign (285)_mask.png,./data/ultrasound/masks/benign/benign (285)_mask.png
benign (58).png,0,benign,train,./mmibc/busi/images/train/benign/benign (58).png,./data/ultrasound/images/benign/benign (58).png,./mmibc/busi/masks/train/benign/benign (58)_mask.png,./data/ultrasound/masks/benign/benign (58)_mask.png
malignant (83).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (83).png,./data/ultrasound/images/malignant/malignant (83).png,./mmibc/busi/masks/train/malignant/malignant (83)_mask.png,./data/ultrasound/masks/malignant/malignant (83)_mask.png
normal (39).png,0,normal,train,./mmibc/busi/images/train/benign/normal (39).png,./data/ultrasound/images/normal/normal (39).png,./mmibc/busi/masks/train/benign/normal (39)_mask.png,./data/ultrasound/masks/normal/normal (39)_mask.png
malignant (114).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (114).png,./data/ultrasound/images/malignant/malignant (114).png,./mmibc/busi/masks/train/malignant/malignant (114)_mask.png,./data/ultrasound/masks/malignant/malignant (114)_mask.png
benign (413).png,0,benign,train,./mmibc/busi/images/train/benign/benign (413).png,./data/ultrasound/images/benign/benign (413).png,./mmibc/busi/masks/train/benign/benign (413)_mask.png,./data/ultrasound/masks/benign/benign (413)_mask.png
normal (3).png,0,normal,train,./mmibc/busi/images/train/benign/normal (3).png,./data/ultrasound/images/normal/normal (3).png,./mmibc/busi/masks/train/benign/normal (3)_mask.png,./data/ultrasound/masks/normal/normal (3)_mask.png
malignant (106).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (106).png,./data/ultrasound/images/malignant/malignant (106).png,./mmibc/busi/masks/train/malignant/malignant (106)_mask.png,./data/ultrasound/masks/malignant/malignant (106)_mask.png
benign (221).png,0,benign,train,./mmibc/busi/images/train/benign/benign (221).png,./data/ultrasound/images/benign/benign (221).png,./mmibc/busi/masks/train/benign/benign (221)_mask.png,./data/ultrasound/masks/benign/benign (221)_mask.png
malignant (198).png,1,malignant,train,./mmibc/busi/images/train/malignant/malignant (198).png,./data/ultrasound/images/malignant/malignant (198).png,./mmibc/busi/masks/train/malignant/malignant (198)_mask.png,./data/ultrasound/masks/malignant/malignant (198)_mask.png
